CET_TimeStamp,Actual_Total_Load,Day_Ahead_Price,Wind_Onshore_Gen_Actual,Wind_Onshore_generation_forecast,Residual_load
01.01.2019 01:00,2386,28.32,1321,1320,1065
01.01.2019 02:00,2348,10.07,1348,1350,1000
01.01.2019 03:00,2339,10.03,1378,1378,961
01.01.2019 04:00,2285,4.56,1396,1396,889
01.01.2019 05:00,2263,4.83,1408,1408,855
01.01.2019 06:00,2301,8.09,1418,1419,883
01.01.2019 07:00,2399,25.54,1414,1415,985
01.01.2019 08:00,2510,39.16,1427,1428,1083
01.01.2019 09:00,2570,37.66,1427,1428,1143
01.01.2019 10:00,2647,21.52,1425,1426,1222
01.01.2019 11:00,2749,28.25,1409,1410,1340
01.01.2019 12:00,2834,19.29,1398,1406,1436
01.01.2019 13:00,2805,19.32,1352,1360,1453
01.01.2019 14:00,2824,16.21,1329,1336,1495
01.01.2019 15:00,2898,21.47,1321,1323,1577
01.01.2019 16:00,2982,32.69,1279,1281,1703
01.01.2019 17:00,3215,29.34,1250,1250,1965
01.01.2019 18:00,3260,30.19,1239,1243,2021
01.01.2019 19:00,3182,30.09,1241,1244,1941
01.01.2019 20:00,3068,29.58,1261,1258,1807
01.01.2019 21:00,2988,36.91,1307,1307,1681
01.01.2019 22:00,2901,33.14,1325,1326,1576
01.01.2019 23:00,2821,21.61,1339,1340,1482
01.02.2019 00:00,2686,4.04,1346,1347,1340
01.02.2019 01:00,2632,9.7,1356,1357,1276
01.02.2019 02:00,2582,6.32,1349,1359,1233
01.02.2019 03:00,2596,4.35,1348,1363,1248
01.02.2019 04:00,2622,8.81,1344,1357,1278
01.02.2019 05:00,2721,22.67,1337,1352,1384
01.02.2019 06:00,2921,43.28,1325,1334,1596
01.02.2019 07:00,3185,44.64,1302,1309,1883
01.02.2019 08:00,3529,49.64,1282,1287,2247
01.02.2019 09:00,3690,49.96,1269,1265,2421
01.02.2019 10:00,3763,50.74,1246,1243,2517
01.02.2019 11:00,3754,49.99,1228,1228,2526
01.02.2019 12:00,3670,50.25,1218,1219,2452
01.02.2019 13:00,3629,49.94,1202,1207,2427
01.02.2019 14:00,3626,49.97,1178,1182,2448
01.02.2019 15:00,3656,50.93,1155,1158,2501
01.02.2019 16:00,3788,52.38,1125,1127,2663
01.02.2019 17:00,3991,54.67,1091,1092,2900
01.02.2019 18:00,4059,55.58,1028,1027,3031
01.02.2019 19:00,3966,55.39,990,992,2976
01.02.2019 20:00,3834,54.9,937,940,2897
01.02.2019 21:00,3733,53.86,891,903,2842
01.02.2019 22:00,3557,52.71,813,828,2744
01.02.2019 23:00,3393,52.09,764,789,2629
01.03.2019 00:00,3147,50.76,729,766,2418
01.03.2019 01:00,3013,49.8,729,743,2284
01.03.2019 02:00,2827,48.89,730,725,2097
01.03.2019 03:00,2686,48.31,745,712,1941
01.03.2019 04:00,2665,48.4,728,698,1937
01.03.2019 05:00,2756,48.79,692,680,2064
01.03.2019 06:00,3007,49.61,642,643,2365
01.03.2019 07:00,3369,51.17,603,609,2766
01.03.2019 08:00,3684,53.91,570,561,3114
01.03.2019 09:00,3885,58.86,492,497,3393
01.03.2019 10:00,3889,59.14,433,442,3456
01.03.2019 11:00,3896,58.19,363,390,3533
01.03.2019 12:00,3891,61.47,292,319,3599
01.03.2019 13:00,3828,62,231,251,3597
01.03.2019 14:00,3816,63.12,183,196,3633
01.03.2019 15:00,3810,63.67,152,159,3658
01.03.2019 16:00,3913,66.13,137,142,3776
01.03.2019 17:00,4079,68.41,123,124,3956
01.03.2019 18:00,4030,69.55,115,116,3915
01.03.2019 19:00,3953,65.67,105,108,3848
01.03.2019 20:00,3833,61.51,99,101,3734
01.03.2019 21:00,3654,57.6,95,95,3559
01.03.2019 22:00,3435,54.44,122,122,3313
01.03.2019 23:00,3232,52.09,164,161,3068
01.04.2019 00:00,2981,49.98,212,213,2769
01.04.2019 01:00,2908,49.87,316,302,2592
