Time (CET),Actual Total Load,Day Ahead Price,Solar Generation Actual,Solar Generation forecast,Wind Onshore Gen Actual,Wind Onshore generation forecast
01.01.2016 00:00 - 01.01.2016 01:00,2707,16.39,n/e,n/e,206,257
01.01.2016 01:00 - 01.01.2016 02:00,2624,16.04,n/e,n/e,185,241
01.01.2016 02:00 - 01.01.2016 03:00,2543,15.74,n/e,n/e,175,222
01.01.2016 03:00 - 01.01.2016 04:00,2480,15.57,n/e,n/e,171,201
01.01.2016 04:00 - 01.01.2016 05:00,2467,15.47,n/e,n/e,158,184
01.01.2016 05:00 - 01.01.2016 06:00,2517,15.75,n/e,n/e,124,172
01.01.2016 06:00 - 01.01.2016 07:00,2605,15.36,n/e,n/e,95,160
01.01.2016 07:00 - 01.01.2016 08:00,2636,15.37,n/e,n/e,99,149
01.01.2016 08:00 - 01.01.2016 09:00,2646,15.19,n/e,n/e,136,141
01.01.2016 09:00 - 01.01.2016 10:00,2657,15.39,n/e,n/e,161,138
01.01.2016 10:00 - 01.01.2016 11:00,2733,15.78,n/e,n/e,199,133
01.01.2016 11:00 - 01.01.2016 12:00,2825,16.15,n/e,n/e,181,124
01.01.2016 12:00 - 01.01.2016 13:00,2899,16.5,n/e,n/e,147,125
01.01.2016 13:00 - 01.01.2016 14:00,2944,16.72,n/e,n/e,135,129
01.01.2016 14:00 - 01.01.2016 15:00,2967,17.17,n/e,n/e,143,132
01.01.2016 15:00 - 01.01.2016 16:00,3059,18,n/e,n/e,173,135
01.01.2016 16:00 - 01.01.2016 17:00,3212,18.53,n/e,n/e,195,147
01.01.2016 17:00 - 01.01.2016 18:00,3256,19.11,n/e,n/e,225,163
01.01.2016 18:00 - 01.01.2016 19:00,3192,18.68,n/e,n/e,267,193
01.01.2016 19:00 - 01.01.2016 20:00,3034,17.93,n/e,n/e,375,230
01.01.2016 20:00 - 01.01.2016 21:00,2963,17.69,n/e,n/e,394,275
01.01.2016 21:00 - 01.01.2016 22:00,2874,17.33,n/e,n/e,424,337
01.01.2016 22:00 - 01.01.2016 23:00,2792,16.75,n/e,n/e,426,399
01.01.2016 23:00 - 02.01.2016 00:00,2684,16.25,n/e,n/e,495,440
02.01.2016 00:00 - 02.01.2016 01:00,2421,16.47,n/e,n/e,676,476
02.01.2016 01:00 - 02.01.2016 02:00,2356,15.89,n/e,n/e,742,523
02.01.2016 02:00 - 02.01.2016 03:00,2360,15.03,n/e,n/e,818,617
02.01.2016 03:00 - 02.01.2016 04:00,2369,13.19,n/e,n/e,892,693
02.01.2016 04:00 - 02.01.2016 05:00,2459,12.69,n/e,n/e,926,771
