CET_TimeStamp,Actual_Total_Load,Day_Ahead_Price,Wind_Onshore_Gen_Actual,Wind_Onshore_generation_forecast,Residual_load
01.01.2016 01:00,2707.0,16.39,206.0,257.0,2501.0
01.01.2016 02:00,2624.0,16.04,185.0,241.0,2439.0
01.01.2016 03:00,2543.0,15.74,175.0,222.0,2368.0
01.01.2016 04:00,2480.0,15.57,171.0,201.0,2309.0
01.01.2016 05:00,2467.0,15.47,158.0,184.0,2309.0
01.01.2016 06:00,2517.0,15.75,124.0,172.0,2393.0
01.01.2016 07:00,2605.0,15.36,95.0,160.0,2510.0
01.01.2016 08:00,2636.0,15.37,99.0,149.0,2537.0
01.01.2016 09:00,2646.0,15.19,136.0,141.0,2510.0
01.01.2016 10:00,2657.0,15.39,161.0,138.0,2496.0
01.01.2016 11:00,2733.0,15.78,199.0,133.0,2534.0
01.01.2016 12:00,2825.0,16.15,181.0,124.0,2644.0
01.01.2016 13:00,2899.0,16.5,147.0,125.0,2752.0
01.01.2016 14:00,2944.0,16.72,135.0,129.0,2809.0
01.01.2016 15:00,2967.0,17.17,143.0,132.0,2824.0
01.01.2016 16:00,3059.0,18.0,173.0,135.0,2886.0
01.01.2016 17:00,3212.0,18.53,195.0,147.0,3017.0
01.01.2016 18:00,3256.0,19.11,225.0,163.0,3031.0
01.01.2016 19:00,3192.0,18.68,267.0,193.0,2925.0
01.01.2016 20:00,3034.0,17.93,375.0,230.0,2659.0
01.01.2016 21:00,2963.0,17.69,394.0,275.0,2569.0
01.01.2016 22:00,2874.0,17.33,424.0,337.0,2450.0
01.01.2016 23:00,2792.0,16.75,426.0,399.0,2366.0
01.02.2016 00:00,2684.0,16.25,495.0,440.0,2189.0
01.02.2016 01:00,2421.0,16.47,676.0,476.0,1745.0
01.02.2016 02:00,2356.0,15.89,742.0,523.0,1614.0
01.02.2016 03:00,2360.0,15.03,818.0,617.0,1542.0
01.02.2016 04:00,2369.0,13.19,892.0,693.0,1477.0
01.02.2016 05:00,2459.0,12.69,926.0,771.0,1533.0
01.02.2016 06:00,2580.0,12.94,954.0,838.0,1626.0
01.02.2016 07:00,2696.0,13.59,1023.0,903.0,1673.0
01.02.2016 08:00,2817.0,14.25,1077.0,949.0,1740.0
01.02.2016 09:00,3005.0,15.7,1090.0,999.0,1915.0
01.02.2016 10:00,3174.0,15.72,1102.0,1020.0,2072.0
01.02.2016 11:00,3435.0,15.97,1071.0,1031.0,2364.0
01.02.2016 12:00,3491.0,16.14,1060.0,1039.0,2431.0
01.02.2016 13:00,3589.0,15.87,1027.0,1053.0,2562.0
01.02.2016 14:00,3596.0,15.98,1015.0,1050.0,2581.0
01.02.2016 15:00,3611.0,16.12,1017.0,1056.0,2594.0
01.02.2016 16:00,3705.0,16.57,1009.0,1048.0,2696.0
01.02.2016 17:00,3853.0,17.29,1034.0,1036.0,2819.0
01.02.2016 18:00,3857.0,17.52,1076.0,1045.0,2781.0
01.02.2016 19:00,3825.0,17.37,1093.0,1051.0,2732.0
01.02.2016 20:00,3700.0,16.95,1074.0,1046.0,2626.0
01.02.2016 21:00,3613.0,16.56,1045.0,1033.0,2568.0
01.02.2016 22:00,3468.0,15.83,1030.0,1018.0,2438.0
01.02.2016 23:00,3355.0,15.82,1004.0,993.0,2351.0
01.03.2016 00:00,3213.0,15.31,1000.0,971.0,2213.0
01.03.2016 01:00,3088.0,15.99,993.0,944.0,2095.0
01.03.2016 02:00,3023.0,15.87,956.0,924.0,2067.0
01.03.2016 03:00,3011.0,15.76,931.0,910.0,2080.0
01.03.2016 04:00,2996.0,15.59,912.0,882.0,2084.0
01.03.2016 05:00,3015.0,15.69,876.0,839.0,2139.0
01.03.2016 06:00,3099.0,15.83,822.0,808.0,2277.0
01.03.2016 07:00,3174.0,14.98,783.0,777.0,2391.0
01.03.2016 08:00,3267.0,15.53,757.0,744.0,2510.0
01.03.2016 09:00,3323.0,15.79,754.0,712.0,2569.0
01.03.2016 10:00,3418.0,16.36,735.0,706.0,2683.0
01.03.2016 11:00,3543.0,17.15,735.0,704.0,2808.0
01.03.2016 12:00,3608.0,17.94,747.0,714.0,2861.0
01.03.2016 13:00,3604.0,17.94,762.0,720.0,2842.0
01.03.2016 14:00,3617.0,17.66,740.0,710.0,2877.0
01.03.2016 15:00,3636.0,17.66,711.0,691.0,2925.0
01.03.2016 16:00,3677.0,17.6,711.0,661.0,2966.0
01.03.2016 17:00,3865.0,18.61,697.0,631.0,3168.0
01.03.2016 18:00,3948.0,19.11,702.0,613.0,3246.0
01.03.2016 19:00,3926.0,18.86,667.0,601.0,3259.0
01.03.2016 20:00,3832.0,18.51,641.0,581.0,3191.0
01.03.2016 21:00,3716.0,18.08,612.0,562.0,3104.0
01.03.2016 22:00,3576.0,17.72,594.0,545.0,2982.0
01.03.2016 23:00,3403.0,17.03,595.0,536.0,2808.0
01.04.2016 00:00,3263.0,15.74,591.0,528.0,2672.0
01.04.2016 01:00,3215.0,15.96,587.0,567.0,2628.0
01.04.2016 02:00,3195.0,15.81,564.0,584.0,2631.0
01.04.2016 03:00,3168.0,15.56,606.0,607.0,2562.0
01.04.2016 04:00,3192.0,15.57,620.0,629.0,2572.0
01.04.2016 05:00,3257.0,15.92,621.0,634.0,2636.0
01.04.2016 06:00,3409.0,16.76,638.0,657.0,2771.0
01.04.2016 07:00,3769.0,18.01,623.0,682.0,3146.0
01.04.2016 08:00,4133.0,19.54,620.0,695.0,3513.0
01.04.2016 09:00,4227.0,20.49,643.0,703.0,3584.0
01.04.2016 10:00,4254.0,20.49,666.0,713.0,3588.0
01.04.2016 11:00,4287.0,20.47,695.0,735.0,3592.0
01.04.2016 12:00,4218.0,20.14,763.0,766.0,3455.0
01.04.2016 13:00,4108.0,19.85,793.0,801.0,3315.0
01.04.2016 14:00,4106.0,19.83,768.0,830.0,3338.0
01.04.2016 15:00,4142.0,19.88,732.0,835.0,3410.0
01.04.2016 16:00,4288.0,20.09,662.0,830.0,3626.0
01.04.2016 17:00,4426.0,22.06,615.0,762.0,3811.0
01.04.2016 18:00,4392.0,28.48,659.0,739.0,3733.0
01.04.2016 19:00,4292.0,20.54,674.0,754.0,3618.0
01.04.2016 20:00,4201.0,19.77,679.0,771.0,3522.0
01.04.2016 21:00,4012.0,19.05,695.0,764.0,3317.0
01.04.2016 22:00,3860.0,18.5,644.0,747.0,3216.0
01.04.2016 23:00,3638.0,17.71,660.0,737.0,2978.0
01.05.2016 00:00,3433.0,17.03,656.0,721.0,2777.0
01.05.2016 01:00,3252.0,17.68,612.0,612.0,2640.0
01.05.2016 02:00,3236.0,17.33,560.0,601.0,2676.0
01.05.2016 03:00,3220.0,17.24,555.0,596.0,2665.0
01.05.2016 04:00,3226.0,17.32,540.0,592.0,2686.0
01.05.2016 05:00,3254.0,17.66,518.0,559.0,2736.0
01.05.2016 06:00,3494.0,17.92,442.0,559.0,3052.0
01.05.2016 07:00,3810.0,18.8,464.0,565.0,3346.0
01.05.2016 08:00,4076.0,20.51,499.0,565.0,3577.0
01.05.2016 09:00,4246.0,22.58,481.0,549.0,3765.0
01.05.2016 10:00,4296.0,23.13,492.0,560.0,3804.0
01.05.2016 11:00,4396.0,23.21,417.0,563.0,3979.0
01.05.2016 12:00,4345.0,21.91,406.0,550.0,3939.0
01.05.2016 13:00,4242.0,21.29,401.0,508.0,3841.0
01.05.2016 14:00,4181.0,20.98,387.0,466.0,3794.0
01.05.2016 15:00,4183.0,21.03,387.0,476.0,3796.0
01.05.2016 16:00,4259.0,23.17,382.0,447.0,3877.0
01.05.2016 17:00,4369.0,30.98,469.0,468.0,3900.0
01.05.2016 18:00,4427.0,34.63,488.0,473.0,3939.0
01.05.2016 19:00,4330.0,24.18,535.0,504.0,3795.0
01.05.2016 20:00,4222.0,20.83,575.0,531.0,3647.0
01.05.2016 21:00,4176.0,19.89,494.0,532.0,3682.0
01.05.2016 22:00,4016.0,19.39,466.0,515.0,3550.0
01.05.2016 23:00,3868.0,18.73,483.0,526.0,3385.0
01.06.2016 00:00,3638.0,17.97,528.0,510.0,3110.0
01.06.2016 01:00,3461.0,20.02,567.0,480.0,2894.0
01.06.2016 02:00,3356.0,19.63,575.0,485.0,2781.0
01.06.2016 03:00,3388.0,19.33,550.0,492.0,2838.0
01.06.2016 04:00,3376.0,19.35,586.0,496.0,2790.0
01.06.2016 05:00,3389.0,19.51,588.0,501.0,2801.0
01.06.2016 06:00,3454.0,19.81,599.0,501.0,2855.0
01.06.2016 07:00,3579.0,20.5,588.0,508.0,2991.0
01.06.2016 08:00,3759.0,22.06,550.0,506.0,3209.0
01.06.2016 09:00,3880.0,25.19,548.0,487.0,3332.0
01.06.2016 10:00,3996.0,28.24,512.0,520.0,3484.0
01.06.2016 11:00,4040.0,34.97,491.0,493.0,3549.0
01.06.2016 12:00,4140.0,37.95,435.0,525.0,3705.0
01.06.2016 13:00,4103.0,37.37,430.0,516.0,3673.0
01.06.2016 14:00,4002.0,36.61,443.0,504.0,3559.0
01.06.2016 15:00,4039.0,29.75,477.0,506.0,3562.0
01.06.2016 16:00,4081.0,36.04,519.0,516.0,3562.0
01.06.2016 17:00,4208.0,41.28,589.0,533.0,3619.0
01.06.2016 18:00,4223.0,44.95,607.0,557.0,3616.0
01.06.2016 19:00,4171.0,46.46,577.0,577.0,3594.0
01.06.2016 20:00,4122.0,42.89,612.0,577.0,3510.0
01.06.2016 21:00,4009.0,24.87,602.0,559.0,3407.0
01.06.2016 22:00,3866.0,22.06,582.0,548.0,3284.0
01.06.2016 23:00,3761.0,20.47,551.0,528.0,3210.0
01.07.2016 00:00,3640.0,19.37,531.0,513.0,3109.0
01.07.2016 01:00,3558.0,22.61,530.0,507.0,3028.0
01.07.2016 02:00,3451.0,21.75,571.0,496.0,2880.0
01.07.2016 03:00,3422.0,21.5,585.0,477.0,2837.0
01.07.2016 04:00,3438.0,21.52,575.0,468.0,2863.0
01.07.2016 05:00,3493.0,21.83,560.0,464.0,2933.0
01.07.2016 06:00,3595.0,24.2,541.0,454.0,3054.0
01.07.2016 07:00,4040.0,27.07,472.0,454.0,3568.0
01.07.2016 08:00,4420.0,72.26,402.0,458.0,4018.0
01.07.2016 09:00,4631.0,99.93,321.0,498.0,4310.0
01.07.2016 10:00,4640.0,79.6,334.0,521.0,4306.0
01.07.2016 11:00,4649.0,74.91,364.0,544.0,4285.0
01.07.2016 12:00,4537.0,61.37,441.0,564.0,4096.0
