Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0:00,,816,126,683,151,605,262,134,508,957,226,373
1:00,206,772,126,699,149,603,250,104,503,946,301,307
2:00,185,724,96,715,145,574,234,130,460,924,381,251
3:00,175,696,81,734,118,553,239,154,417,859,499,193
4:00,171,686,108,725,82,554,254,126,393,820,575,204
5:00,158,680,132,720,64,539,285,106,374,675,671,197
6:00,124,614,175,709,51,494,350,88,371,634,770,199
7:00,95,545,234,609,58,423,435,77,332,577,836,273
8:00,99,459,230,521,38,324,449,55,265,511,834,372
9:00,136,402,159,455,19,271,486,56,179,369,800,447
10:00,161,347,133,552,19,274,567,79,183,276,818,505
11:00,199,260,149,587,36,310,611,129,270,268,878,561
12:00,181,273,213,600,47,431,629,197,374,279,927,586
13:00,147,434,225,628,62,527,675,245,440,210,1001,564
14:00,135,609,237,637,90,520,742,304,422,188,1028,599
15:00,143,817,258,583,114,479,794,364,398,154,1132,672
16:00,173,1023,294,496,126,429,795,493,421,122,1145,722
17:00,195,1116,339,447,130,426,724,556,429,127,1136,800
18:00,225,1206,383,358,138,420,627,532,368,98,1125,904
19:00,267,1263,375,245,120,390,477,511,340,83,1119,1004
20:00,375,1255,374,182,103,380,388,461,289,86,1124,996
21:00,394,1270,415,177,112,378,276,485,311,103,1144,1055
22:00,424,1284,451,162,129,369,269,518,402,106,1113,1068
23:00,426,1298,394,226,133,413,285,539,437,86,1021,1084
0:00,495,1297,415,291,145,434,341,552,443,54,999,1107
1:00,676,1286,434,344,152,472,354,557,495,29,973,1084
2:00,742,1284,388,361,131,514,398,555,560,28,954,1001
3:00,818,1274,392,388,116,506,449,557,562,41,894,988
4:00,892,1289,430,340,90,513,492,531,560,37,909,962
5:00,926,1258,469,298,106,521,592,484,517,58,938,888
6:00,954,1244,484,352,98,514,575,445,517,83,956,854
7:00,1023,1256,484,393,71,433,533,364,459,130,953,873
8:00,1077,1267,487,422,39,311,496,263,365,176,981,886
9:00,1090,1255,490,363,7,242,452,293,312,203,979,904
10:00,1102,1241,507,258,1,251,539,307,378,195,1006,837
11:00,1071,1270,529,281,2,330,565,293,462,202,1011,761
12:00,1060,1282,577,409,15,442,634,307,438,218,1042,716
13:00,1027,1287,547,513,55,489,588,291,448,222,1084,679
14:00,1015,1291,549,560,108,486,489,287,430,231,1076,672
15:00,1017,1290,543,578,144,537,415,311,403,247,1032,649
16:00,1009,1284,541,538,175,619,350,258,361,250,996,643
17:00,1034,1276,551,518,223,584,222,270,358,268,961,648
18:00,1076,1279,542,448,250,473,194,211,336,259,945,664
19:00,1093,1283,553,389,259,361,167,154,352,338,939,715
20:00,1074,1288,596,391,263,326,172,113,424,408,890,708
21:00,1045,1270,628,427,324,301,187,108,413,450,878,663
22:00,1030,1274,655,471,391,359,237,138,444,482,846,607
23:00,1004,1277,702,449,435,423,281,191,432,499,850,553
0:00,1000,1276,656,457,457,478,318,205,445,506,861,470
1:00,993,1270,491,453,449,458,379,178,487,540,826,402
2:00,956,1278,385,438,481,444,429,142,498,619,740,357
3:00,931,1282,258,393,508,439,407,110,442,686,687,381
4:00,912,1281,191,321,544,416,402,77,412,742,605,400
5:00,876,1252,122,273,566,430,412,69,437,807,587,451
6:00,822,1250,117,195,530,414,414,56,459,861,565,506
7:00,783,1242,86,129,506,302,341,61,442,931,537,539
8:00,757,1195,70,120,406,183,295,54,464,922,451,594
9:00,754,1122,43,77,266,130,356,60,497,902,366,614
10:00,735,1083,37,47,261,132,376,135,550,897,293,604
11:00,735,1011,29,34,281,145,423,230,612,890,240,551
12:00,747,900,22,41,302,155,454,353,637,874,217,468
13:00,762,844,38,47,316,155,473,478,680,861,235,413
14:00,740,844,62,52,299,149,528,574,663,853,197,360
15:00,711,805,78,78,251,137,588,647,657,797,161,318
16:00,711,699,101,136,218,134,571,658,632,749,135,295
17:00,697,594,122,112,254,149,495,606,562,740,111,286
18:00,702,584,111,70,314,135,410,608,545,672,103,217
19:00,667,648,112,99,274,98,322,656,451,607,93,169
20:00,641,694,97,219,230,58,259,618,399,613,99,109
21:00,612,738,84,235,213,38,221,619,407,685,112,81
22:00,594,826,79,238,207,35,226,630,455,720,140,85
23:00,595,884,97,204,209,57,313,717,462,758,147,77
0:00,591,908,93,215,240,93,438,694,451,776,168,71
1:00,587,890,91,240,318,111,501,624,388,797,151,60
2:00,564,919,78,243,384,120,497,557,323,799,181,67
3:00,606,900,64,267,402,101,485,520,284,790,206,78
4:00,620,902,58,307,420,99,489,526,258,795,221,88
5:00,621,913,62,317,436,65,483,477,226,789,234,170
6:00,638,923,70,316,404,55,393,422,182,746,239,217
7:00,623,876,61,321,305,51,312,383,147,742,240,221
8:00,620,815,74,349,223,55,311,385,116,748,242,239
9:00,643,765,56,252,194,47,341,399,62,667,232,297
10:00,666,683,50,156,202,45,358,430,31,514,215,315
11:00,695,603,53,144,229,84,388,389,24,524,227,346
12:00,763,604,50,145,240,118,431,418,20,627,269,356
13:00,793,635,45,145,250,133,465,475,14,706,312,372
14:00,768,684,40,144,259,156,478,510,24,735,374,381
15:00,732,653,45,119,299,157,485,608,37,763,436,419
16:00,662,596,58,116,331,143,467,658,53,777,483,440
17:00,615,561,67,133,302,153,380,581,75,728,512,503
18:00,659,566,83,145,270,141,358,549,85,697,574,569
19:00,674,559,118,214,251,95,340,522,82,646,593,696
20:00,679,554,163,260,229,58,274,457,95,688,575,756
21:00,695,525,229,380,203,63,216,318,137,770,562,837
22:00,644,493,252,407,209,161,215,317,139,766,561,882
23:00,660,490,255,335,216,234,279,327,241,768,563,931
0:00,656,530,256,360,203,282,320,341,267,793,527,952
1:00,612,547,259,301,231,291,329,348,326,790,503,956
2:00,560,549,310,239,255,271,312,354,413,824,515,1024
3:00,555,503,381,231,278,211,323,360,489,804,519,1089
4:00,540,509,393,182,272,190,312,304,510,836,553,1108
5:00,518,517,429,117,261,172,223,266,506,907,596,1147
6:00,442,551,538,72,268,152,172,250,516,930,639,1197
7:00,464,509,603,35,244,125,116,212,517,926,685,1238
8:00,499,505,583,26,111,96,55,146,449,937,699,1234
9:00,481,492,550,19,41,95,37,104,290,901,717,1202
10:00,492,462,526,10,31,75,66,123,212,865,710,1180
11:00,417,415,558,7,31,72,91,157,197,910,734,1131
12:00,406,359,623,8,30,68,104,191,176,965,779,1085
13:00,401,352,616,16,45,82,105,211,153,1046,756,980
14:00,387,326,634,34,63,115,116,187,119,1032,779,902
15:00,387,226,745,29,97,159,116,207,80,1018,927,870
16:00,382,184,807,33,110,202,92,224,70,1031,1027,826
17:00,469,180,815,35,119,226,107,253,65,999,1064,728
18:00,488,228,806,37,118,313,116,287,66,944,1102,669
19:00,535,282,844,49,100,321,117,242,60,955,1083,607
20:00,575,366,856,131,93,285,95,200,65,989,1034,524
21:00,494,417,848,142,110,244,104,166,87,1048,995,472
22:00,466,407,810,107,132,251,144,199,70,1079,945,379
23:00,483,347,784,120,153,338,136,250,34,1088,890,333
0:00,528,335,776,122,146,385,161,315,25,1070,867,382
1:00,567,370,756,145,140,365,175,379,27,1018,855,392
2:00,575,393,751,226,124,356,196,452,39,1047,847,397
3:00,550,415,755,432,110,356,355,433,55,1102,836,411
4:00,586,462,711,703,93,333,491,466,56,1141,820,402
5:00,588,566,625,815,86,332,575,453,67,1151,849,371
6:00,599,640,559,942,76,296,615,412,85,1171,888,357
7:00,588,718,557,997,65,253,651,391,101,1157,908,355
8:00,550,753,558,928,45,240,714,373,115,1142,960,377
9:00,548,765,558,922,17,258,765,452,103,1138,1024,331
10:00,512,788,549,1032,25,221,703,546,69,1135,1050,243
11:00,491,849,541,1100,43,176,735,648,58,1124,1106,162
12:00,435,887,528,1111,85,166,757,730,120,1165,1128,107
13:00,430,865,488,1134,149,163,756,747,215,1167,1165,81
14:00,443,815,430,1073,226,151,863,813,301,1146,1176,69
