Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0:00,,3183,2751,2346,2302,2067,2055,1935,2028,1907,2375,3140
1:00,2388,3021,2753,2186,2216,1931,1986,1758,1908,1861,2302,2996
2:00,2342,2991,2671,2111,2135,1845,1888,1684,1808,1833,2199,2951
3:00,2291,2975,2562,2063,2092,1870,1848,1640,1797,1803,2196,2952
4:00,2189,2989,2455,2078,2155,1909,1796,1653,1756,1790,2208,2922
5:00,2155,3044,2457,2179,2218,1927,1732,1687,1783,1761,2204,2950
6:00,2159,3233,2702,2286,2191,2018,1712,1664,1935,1776,2378,3082
7:00,2228,3711,3142,2317,2218,2390,1788,1847,2246,1833,2769,3542
8:00,2352,4063,3454,2339,2322,2716,1926,2123,2627,1857,3009,3927
9:00,2427,4142,3567,2509,2405,2897,2078,2298,2758,2004,3122,3963
10:00,2470,4140,3552,2659,2334,2877,2244,2405,2751,2146,3172,3930
11:00,2624,4200,3624,2716,2366,2869,2362,2490,2763,2265,3278,3921
12:00,2792,4216,3603,2653,2389,2801,2456,2513,2757,2324,3293,3902
13:00,2927,4147,3550,2523,2436,2622,2389,2488,2671,2323,3220,3825
14:00,2922,4152,3464,2455,2376,2554,2335,2501,2612,2292,3194,3789
15:00,2839,4082,3482,2383,2292,2503,2272,2475,2540,2299,3128,3707
16:00,2941,4096,3492,2368,2264,2518,2263,2407,2477,2332,3050,3768
17:00,3106,4123,3526,2381,2294,2392,2285,2325,2467,2359,3114,3941
18:00,3168,4227,3656,2485,2367,2345,2328,2360,2465,2434,3221,3915
19:00,3093,4171,3769,2557,2441,2277,2276,2303,2373,2478,3168,3769
20:00,3024,4077,3712,2586,2485,2346,2238,2242,2302,2565,3103,3657
21:00,2929,3905,3646,2655,2574,2396,2175,2185,2323,2441,2966,3526
22:00,2815,3694,3515,2527,2630,2385,2095,2153,2214,2247,2722,3391
23:00,2749,3463,3191,2392,2458,2348,2064,1995,2088,2093,2535,3254
0:00,2663,3225,3006,2288,2349,2137,1901,1845,1902,1969,2394,3085
1:00,2627,3019,2960,2185,2275,1973,1708,1730,1816,1873,2305,2966
2:00,2544,2946,2881,2146,2248,1816,1641,1664,1749,1833,2198,2935
3:00,2529,2940,2822,2103,2236,1718,1602,1590,1680,1834,2183,2906
4:00,2591,2943,2787,2109,2259,1753,1609,1529,1692,1855,2199,2866
5:00,2690,2990,2801,2122,2318,1770,1574,1465,1702,1868,2246,2868
6:00,2867,3153,2975,2139,2396,1955,1568,1500,1741,1980,2403,2977
7:00,3327,3639,3417,2179,2823,2329,1611,1712,1784,2347,2753,3074
8:00,3715,4060,3795,2218,3269,2692,1757,2044,1932,2633,3044,3218
9:00,3855,4149,3894,2412,3365,2794,1839,2273,2131,2727,3174,3328
10:00,3957,4128,3844,2599,3176,2783,2008,2399,2249,2755,3190,3423
11:00,4058,4163,3860,2707,2918,2798,2123,2457,2307,2892,3264,3461
12:00,4025,4194,3819,2754,2928,2770,2093,2519,2314,2954,3257,3440
13:00,3914,4175,3706,2696,2908,2665,2098,2525,2294,2965,3144,3415
14:00,3941,4185,3669,2631,2900,2579,2077,2538,2258,3020,3155,3377
15:00,3970,4166,3645,2578,2841,2514,2029,2529,2195,2978,3185,3342
16:00,4110,4149,3604,2530,2757,2471,2005,2452,2152,2888,3116,3367
17:00,4245,4121,3529,2468,2647,2434,1973,2378,2139,2719,3106,3526
18:00,4266,4238,3633,2512,2671,2411,1989,2420,2214,2747,3254,3546
19:00,4222,4157,3813,2657,2626,2295,1979,2388,2190,2708,3176,3437
20:00,4121,4086,3721,2723,2691,2253,2038,2300,2146,2725,3104,3316
21:00,3959,3936,3582,2808,2771,2179,2038,2196,2216,2576,2974,3190
22:00,3773,3777,3344,2656,2751,2106,2008,2171,2131,2366,2849,3060
23:00,3585,3515,3091,2497,2514,2033,2047,2026,2006,2167,2747,2927
0:00,3405,3312,2896,2300,2338,1929,2016,1854,1920,1979,2607,2762
1:00,3154,3138,2848,2206,2245,1853,1955,1715,1833,1934,2456,2667
2:00,3095,3088,2725,2149,2246,1791,1848,1633,1707,1905,2422,2661
3:00,3071,3108,2673,2130,2241,1746,1835,1594,1645,1901,2393,2592
4:00,3034,3110,2693,2191,2268,1734,1858,1600,1674,1893,2422,2605
5:00,3080,3166,2817,2239,2269,1655,1841,1627,1688,1883,2469,2650
6:00,3234,3346,2969,2408,2325,1615,1955,1657,1759,2063,2632,2701
7:00,3566,3790,3336,2842,2710,1672,2263,1925,1767,2477,2923,2774
8:00,3939,4208,3676,3210,3034,1797,2579,2194,1847,2772,3115,2877
9:00,4109,4291,3848,3365,3025,1973,2697,2348,2013,2847,3175,2978
10:00,4031,4266,3835,3387,2919,2109,2780,2457,2161,2846,3203,3101
11:00,4102,4241,3797,3406,2961,2138,2712,2573,2192,2813,3206,3210
12:00,4101,4235,3792,3360,2896,2156,2726,2626,2165,2800,3140,3269
13:00,4067,4159,3731,3272,2755,2137,2722,2520,2195,2669,3071,3266
14:00,4162,4148,3662,3174,2680,2093,2797,2457,2200,2648,3032,3258
15:00,4132,4042,3694,3106,2699,2041,2795,2461,2179,2640,2993,3260
16:00,4108,3943,3612,3054,2685,2046,2703,2524,2167,2660,2986,3300
17:00,4016,4003,3572,2910,2624,2070,2606,2550,2145,2633,3063,3430
18:00,4020,4158,3680,2918,2673,2146,2697,2541,2116,2401,3136,3469
19:00,3841,4070,3651,2890,2637,2128,2818,2463,2124,3083,3113,3409
20:00,3786,3874,3468,2896,2670,2119,2760,2313,2175,3118,2978,3393
21:00,3636,3660,3308,3026,2726,2066,2656,2267,2282,2786,2739,3325
22:00,3428,3492,3222,2955,2782,1997,2497,2200,2178,2499,2542,3153
23:00,3296,3289,3140,2795,2694,1929,2346,2083,2039,2163,2416,2956
