Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,194,634,374,342,924,452,269,491,841,335,285
1:00,1151,157,732,349,370,956,472,246,464,886,333,313
2:00,1151,142,711,322,399,908,462,222,438,875,326,364
3:00,1140,137,699,291,414,863,444,200,408,857,317,414
4:00,1133,133,692,257,414,809,420,170,377,836,301,457
5:00,1113,138,712,231,425,743,413,140,356,832,292,499
6:00,1078,149,743,222,422,674,419,107,325,818,306,532
7:00,1032,163,760,220,428,607,423,75,284,810,318,572
8:00,979,171,737,207,437,560,432,55,248,790,323,604
9:00,919,164,706,181,486,509,430,45,215,760,332,581
10:00,856,170,688,167,543,462,437,39,189,721,375,576
11:00,791,172,677,164,624,437,428,39,180,703,442,553
12:00,725,175,682,178,667,440,409,42,180,667,486,522
13:00,653,177,769,184,709,462,383,44,178,624,554,511
14:00,569,176,803,198,719,497,353,48,173,565,638,471
15:00,484,179,845,204,729,534,325,49,162,534,700,440
16:00,420,186,906,198,735,569,305,51,145,506,788,417
17:00,382,196,916,191,737,584,284,52,133,454,882,419
18:00,360,228,904,164,724,564,267,54,123,391,963,389
19:00,353,271,917,143,704,523,248,51,105,342,1016,337
20:00,343,303,881,135,662,462,240,47,102,331,1047,309
21:00,351,323,850,140,622,384,240,46,103,325,1049,265
22:00,358,349,802,133,591,353,243,51,110,322,1038,235
23:00,361,370,720,125,578,324,258,54,116,330,1035,206
0:00,369,376,656,126,567,315,281,63,118,352,1025,182
1:00,408,361,611,104,555,320,260,49,123,394,985,160
2:00,422,357,535,97,548,333,286,49,132,446,951,145
3:00,446,351,471,89,549,321,300,55,134,508,916,136
4:00,464,352,409,78,542,317,320,59,132,574,877,136
5:00,473,350,347,69,535,293,340,78,132,664,838,149
6:00,477,365,294,63,514,253,345,120,126,766,786,179
7:00,475,376,258,56,485,221,346,154,125,877,731,221
8:00,471,389,224,58,460,194,357,208,124,981,689,280
9:00,461,402,173,54,460,167,388,253,115,1056,641,337
10:00,454,395,141,50,509,133,421,296,100,1120,622,402
11:00,444,383,108,56,512,113,469,333,93,1189,628,447
