Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0:00,,2219,3222,-566,1633,1664,1585,1791,1747,1938,2360,2177
1:00,2044,2084,3060,2139,2025,1504,1598,1715,1652,1871,2263,2040
2:00,1999,2084,3028,2061,1960,1424,1638,1663,1578,1868,2182,2012
3:00,1962,1995,3031,2049,1901,1452,1593,1642,1562,1906,2061,1999
4:00,1885,1938,3024,2036,1855,1464,1507,1658,1476,1945,1960,2033
5:00,1922,1987,3066,2030,1800,1421,1347,1686,1441,2038,1925,2052
6:00,1930,2165,3212,2004,1768,1576,1353,1664,1481,2200,2092,2130
7:00,1900,2521,3551,2029,1764,2015,1418,1845,1519,2596,2440,2300
8:00,1791,2938,3856,2007,1731,2450,1507,2135,1673,2861,2672,2583
9:00,1692,2966,3972,2094,1795,2613,1589,2330,1839,2972,2663,2773
10:00,1615,2900,3925,2182,1791,2646,1594,2399,2001,2950,2690,2898
11:00,1564,2864,3793,2271,1711,2687,1538,2421,2055,2908,2728,2961
12:00,1557,3015,3696,2406,1691,2683,1537,2506,2140,2827,2764,2994
13:00,1618,3099,3555,2506,1624,2633,1621,2496,2131,2739,2691,2984
14:00,1618,3122,3508,2497,1574,2573,1672,2495,2113,2719,2777,2955
15:00,1662,3145,3466,2454,1477,2523,1651,2493,2059,2798,2745,2962
16:00,1743,3179,3496,2434,1454,2457,1636,2421,2043,2675,2695,3073
17:00,1871,3237,3500,2436,1536,2406,1706,2338,2023,2484,2693,3163
18:00,1956,3387,3605,2469,1639,2358,1826,2292,2030,2629,2782,3151
19:00,1932,3315,3667,2546,1655,2296,1895,2171,2055,2742,2696,3049
20:00,1919,3223,3601,2653,1674,2218,1940,2140,1970,2849,2628,2953
21:00,1951,3098,3465,2708,1658,2160,1953,2078,2019,2719,2535,2785
22:00,1836,2904,3289,2624,1689,2078,1919,2079,1973,2496,2442,2624
23:00,1773,2745,3109,2529,1609,2029,1861,2055,1879,2333,2237,2475
0:00,1760,2550,2974,2458,1430,1488,1782,1889,1729,2109,2045,2344
1:00,1734,2466,2940,2365,1400,1738,1671,1723,1627,1934,1948,2236
2:00,1677,2429,2936,2296,1479,1665,1583,1623,1589,1872,1968,2155
3:00,1641,2433,2949,2259,1552,1629,1522,1549,1584,1757,1972,2099
4:00,1627,2423,2934,2283,1614,1628,1510,1514,1589,1677,1989,2090
5:00,1713,2490,2945,2291,1643,1566,1417,1518,1583,1774,2039,2064
6:00,1884,2767,3082,2353,1768,1574,1447,1528,1611,1866,2147,2054
7:00,2286,3255,3416,2457,2235,1665,1855,1724,1621,2222,2450,2020
8:00,2701,3695,3668,2562,2684,1854,2302,2015,1722,2567,2669,2075
9:00,2945,3798,3778,2705,2820,2035,2449,2263,1881,2610,2716,2098
10:00,3039,3833,3835,2765,2831,2162,2423,2349,2005,2532,2616,2256
11:00,3176,3862,3898,2755,2764,2230,2460,2407,2083,2532,2700,2377
12:00,3205,3825,3873,2713,2685,2250,2460,2411,2101,2605,2683,2516
13:00,3184,3753,3806,2618,2632,2184,2355,2410,2085,2387,2530,2610
14:00,3200,3685,3785,2528,2585,2071,2365,2337,2076,2151,2475,2623
15:00,3197,3603,3682,2404,2547,1994,2411,2263,2040,1997,2385,2650
16:00,3240,3569,3690,2306,2538,1978,2426,2182,2008,1914,2353,2701
17:00,3297,3559,3699,2296,2445,1979,2265,2099,2032,1802,2300,2800
18:00,3347,3687,3815,2394,2456,2017,2178,2129,2087,1843,2350,2860
19:00,3375,3643,3958,2574,2489,2053,2049,2129,2137,1859,2214,2832
20:00,3203,3559,3869,2765,2523,1966,2072,2138,2131,1917,2153,2795
21:00,2986,3429,3705,2908,2511,1894,2097,2074,2150,1779,2106,2692
22:00,2808,3300,3543,2836,2509,1837,2047,1939,2024,1606,1888,2551
23:00,2688,3154,3380,2713,2329,1800,1957,1839,1843,1544,1738,2392
0:00,2487,3001,3234,2604,2079,1299,1774,1670,1695,1358,1573,2210
1:00,2414,2940,3144,2609,1885,1558,1616,1545,1647,1205,1510,2125
2:00,2283,2911,3101,2605,1826,1510,1573,1463,1554,1187,1424,2094
3:00,2154,2906,3111,2624,1801,1483,1586,1438,1501,1161,1490,2074
4:00,2033,2892,3089,2608,1785,1478,1590,1435,1544,1198,1542,2135
5:00,1917,2933,3107,2554,1777,1406,1576,1449,1526,1324,1637,2165
6:00,1911,3010,3146,2648,1872,1393,1661,1491,1671,1542,1736,2321
7:00,2113,3141,3232,2879,2247,1466,2029,1710,1971,1939,1903,2695
8:00,2294,3276,3322,3126,2635,1652,2451,2032,2333,2281,2033,3066
9:00,2334,3422,3558,3295,2754,1851,2633,2231,2524,2461,2182,3067
10:00,2341,3580,3673,3284,2855,2020,2669,2336,2526,2504,2321,3000
11:00,2440,3598,3675,3358,2881,2075,2662,2373,2528,2457,2298,2906
12:00,2491,3577,3609,3389,2748,2056,2546,2352,2486,2423,2212,2886
13:00,2503,3500,3536,3389,2455,2033,2475,2292,2481,2321,2178,2832
14:00,2675,3425,3413,3334,2391,1942,2448,2242,2521,2242,2218,2889
15:00,2880,3383,3402,3343,2204,1863,2356,2181,2523,2195,2297,2909
16:00,2939,3361,3409,3390,2173,1818,2313,2132,2503,2136,2403,2858
17:00,3036,3379,3458,3324,2016,1822,2224,2092,2444,2061,2588,2906
18:00,3164,3446,3632,3373,2043,1842,2206,2106,2434,2309,2672,2885
19:00,3200,3352,3755,3388,2100,1840,2262,2085,2352,2575,2578,2820
20:00,3188,3166,3649,3356,2202,1886,2269,2066,2344,2588,2440,2575
21:00,3136,3009,3465,3316,2279,1965,2261,1959,2416,2388,2357,2433
22:00,3020,2848,3272,3063,2326,1921,2165,1943,2274,2165,2298,2249
23:00,2876,2715,3180,2708,2168,1824,2112,1852,2036,1918,2191,2062
0:00,2682,2628,3106,2441,1930,1552,1925,1699,1833,1705,2083,1809
1:00,2543,2490,3043,2328,1821,1354,1708,1560,1745,1641,2018,1703
2:00,2513,2378,3009,2205,1809,1329,1616,1459,1707,1690,1971,1520
3:00,2527,2261,2982,2105,1799,1281,1528,1395,1712,1632,2012,1420
4:00,2555,2195,2984,2118,1851,1265,1515,1388,1712,1719,2073,1462
5:00,2609,2162,3015,2168,1927,1257,1431,1390,1717,1826,2068,1435
6:00,2756,2200,3057,2214,2062,1396,1471,1303,1905,2043,2091,1585
7:00,3078,2364,3093,2586,2409,1718,1899,1290,2235,2505,2147,1931
8:00,3361,2446,3162,2929,2728,2099,2389,1420,2565,2902,2186,2295
9:00,3594,2567,3281,2969,2842,1801,2638,1605,2711,3036,2291,2375
10:00,3627,2722,3328,2934,2786,2335,2656,1679,2709,3037,2438,2347
11:00,3710,2759,3318,2992,2712,2426,2698,1661,2762,3099,2481,2362
12:00,3710,2851,3311,2928,2689,2460,2665,1662,2764,3048,2579,2344
13:00,3706,2859,3299,2910,2641,2429,2604,1677,2756,2901,2529,2235
14:00,3713,2821,3288,2962,2603,2470,2587,1567,2714,2817,2449,2246
15:00,3632,2851,3269,2930,2509,2481,2567,1502,2692,2797,2459,2253
16:00,3682,2894,3287,2916,2383,2470,2533,1459,2652,2762,2447,2369
17:00,3704,3015,3341,2923,2298,2460,2466,1476,2598,2684,2595,2520
18:00,3693,3250,3434,2908,2333,2501,2423,1508,2612,2645,2693,2604
19:00,3650,3277,3576,2915,2303,2435,2348,1533,2580,2576,2656,2533
20:00,3578,3217,3489,2957,2308,2383,2302,1539,2569,2508,2575,2505
21:00,3428,3253,3343,3059,2266,2346,2246,1625,2638,2302,2481,2493
22:00,3217,3176,3176,2933,2266,2242,2173,1699,2486,2058,2322,2326
23:00,3053,3092,3011,2653,2176,2126,2114,1531,2274,1852,2223,2119
0:00,2818,2986,2845,2330,2011,1889,1896,1377,2058,1670,2102,1953
1:00,2703,2902,2733,2065,1892,1681,1725,1255,1909,1550,2073,1942
2:00,2638,2803,2669,1810,1763,1563,1673,1154,1834,1368,2054,1893
3:00,2629,2829,2557,1692,1766,1475,1627,1030,1776,1308,2074,1908
4:00,2655,2903,2514,1661,1841,1397,1643,1007,1776,1270,2062,1910
5:00,2684,2977,2514,1892,1910,1219,1627,974,1805,1322,2089,2027
6:00,2783,3242,2582,2114,1902,1258,1683,926,1944,1417,2271,2343
7:00,3090,3710,2888,2539,1971,1639,1965,926,2254,1779,2752,2873
8:00,3468,4159,3122,2815,2109,2043,2319,1034,2576,2057,3070,3304
9:00,3651,4249,3220,3029,2249,2304,2496,1055,2671,2159,3126,3439
10:00,3668,4234,3237,3048,2342,2466,2550,1043,2710,2253,3136,3471
11:00,3750,4288,3296,3116,2341,2591,2641,1083,2754,2301,3146,3533
12:00,3735,4264,3372,3201,2262,2675,2665,1058,2759,2318,3188,3556
13:00,3682,4204,3385,3091,2159,2665,2601,1003,2699,2279,3156,3491
14:00,3629,4129,3389,3038,2096,2650,2550,967,2683,2219,3140,3507
15:00,3579,4060,3361,2919,1990,2573,2491,927,2675,2157,3107,3523
16:00,3632,4051,3367,2817,1938,2546,2443,868,2638,2169,3144,3554
17:00,3698,4034,3412,2659,1959,2441,2337,869,2561,2159,3115,3543
18:00,3683,4261,3501,2425,2024,2450,2267,930,2577,2170,3141,3516
19:00,3548,4273,3604,2285,2071,2360,2211,969,2537,2227,3000,3433
20:00,3377,4201,3654,2320,2063,2326,2177,1044,2556,2232,2862,3343
21:00,3196,4152,3602,2225,2014,2294,2127,1163,2593,2060,2718,3232
22:00,3095,4036,3379,2055,2022,2202,2042,1327,2419,1949,2584,3049
23:00,2945,3894,3164,1695,1932,2081,2030,1387,2192,1759,2321,2825
0:00,2757,3714,2940,1464,2184,1869,1880,1260,1994,1600,2065,2597
1:00,2661,3570,2786,1327,1756,1626,1736,1132,1863,1559,1975,2451
2:00,2609,3534,2779,1314,1721,1507,1659,1068,1799,1527,1857,2389
3:00,2592,3558,2739,1312,1766,1444,1620,1006,1779,1556,1799,2363
4:00,2598,3581,2752,1327,1789,1427,1629,1061,1776,1619,1808,2320
5:00,2613,3622,2840,1371,1775,1380,1621,1070,1805,1667,1841,2348
6:00,2657,3830,3076,1529,1761,1393,1695,1108,1935,1797,1956,2453
7:00,2734,4224,3516,1854,1816,1569,2004,1473,2262,1995,2366,2935
