Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0:00,,51.46,41.44,36.61,5.03,33.21,4.33,40.45,33.02,32.2,37.54,39.17
1:00,28.32,51.31,41.46,31.06,3.1,15.63,20.71,39,28.75,32.08,36.51,38.5
2:00,10.07,50.47,40.85,29.96,4.84,13.1,19.82,37.98,27.36,31.26,34.88,37.07
3:00,10.03,50.03,40.69,31.07,4.09,6.86,19.84,37.44,26.47,30.04,34.51,36.26
4:00,4.56,50.1,41.02,31.84,4.26,4.93,20.56,37.26,26.55,30.2,34.42,35.93
5:00,4.83,50.72,41.92,32.4,3.92,3.92,21.09,37.37,25.91,30.13,35.57,35.86
6:00,8.09,52.56,43.39,37.61,2.74,4.98,24.07,38.39,26.61,33.01,37.38,35.92
7:00,25.54,53.98,45.3,43.43,4,17.02,27.7,41.08,27.16,47.47,38.51,36.13
8:00,39.16,55.29,47.98,55.58,11.29,22.39,29.67,45.79,27.36,50.98,39.83,37.14
9:00,37.66,56.66,49.99,53.56,30.15,29.61,31.97,45.69,32.86,51.05,40.17,38.74
10:00,21.52,55.93,50.28,45.95,29.4,28.68,32,42.43,34.99,49.63,39.87,41.11
11:00,28.25,55.89,51.15,42.2,29.59,26.42,31.15,40.83,35.79,46.86,39.74,43.11
12:00,19.29,56.53,50.97,40.07,28.65,25.28,29.91,40.83,35.72,44.92,39.41,43.33
13:00,19.32,56.05,48.56,39.2,22.84,26.69,28.52,40.49,35,42.17,38.91,43.16
14:00,16.21,55.64,46.26,38.98,19.47,22.4,27.39,40.54,34.27,41.04,38.78,42.87
15:00,21.47,55.66,45.79,37.2,12.9,18.33,27.25,40.2,33.74,43.03,38.44,43.14
16:00,32.69,55.59,45.55,36.93,10.4,24.71,27,40.11,32.99,43.02,38.05,43.54
17:00,29.34,62.37,45.8,37.79,10.51,26.91,26.72,40.15,33.04,42.88,38.62,45.09
18:00,30.19,65.98,50.79,38.43,19.61,29.09,27.5,44.24,32.4,50.08,39.19,44.12
19:00,30.09,64.96,52.59,40.62,29.65,33.04,28.04,54.62,34.07,54.19,39.02,43.18
20:00,29.58,55.08,51.23,44.02,33.12,32.7,27.89,63.38,36.52,54.99,38.23,42.19
21:00,36.91,54.18,47.49,41,32.8,30.08,27.67,66.43,38.72,52.92,37.31,41.61
22:00,33.14,53.99,45.04,39.41,33.2,32.29,27.29,57.94,37.83,49.01,36.26,40.41
23:00,21.61,52.71,44.19,35.8,26.99,32.02,27.15,40.09,36.43,43.74,34.04,38.94
0:00,4.04,50.92,43.35,31.8,12.78,20.77,26.08,39.61,34.24,32.85,30.78,36.93
1:00,9.7,50.04,43.13,29.11,1.92,4.99,24.99,39.04,30,32.49,31.5,36.03
2:00,6.32,48.67,42.24,26.93,1.03,4.76,24.09,38.89,26.97,31,30.07,36.21
3:00,4.35,48.1,41.09,25.43,0.55,3.55,22.73,38.2,25.96,30.94,28.01,35.4
4:00,8.81,48.05,39.49,25.46,0.47,2.85,21.53,37.93,25,31.32,27,34.46
5:00,22.67,48.5,39.59,27.88,0.12,2.3,20.57,38.1,26.26,32.2,28.06,35.88
6:00,43.28,49.07,39.97,34.73,2.1,2.96,21.36,39.88,29.96,33.8,30.1,39.92
7:00,44.64,49.21,40.48,39.63,12.02,4.77,24.29,40.55,38.21,48.61,34.43,43.76
8:00,49.64,49.68,41.16,42.73,39.16,22.64,26.86,46.81,46.09,52.79,35.7,52.97
9:00,49.96,51.47,41.64,42.16,39.9,25.22,27.49,48.27,50.77,52.63,36.59,54.58
10:00,50.74,53.28,41.93,40.5,39.48,29.91,28.48,49.26,48.29,51.75,37.95,54.09
11:00,49.99,54.1,42.36,39.4,39.36,30.94,28.82,47.95,44.07,50,38.43,45.9
12:00,50.25,53.87,41.98,38.69,37.32,30.07,29.79,44.96,41.81,48.04,38.17,43.59
13:00,49.94,53.46,41.84,38.28,31.42,24.97,28.11,42.31,39.24,41.4,37.47,41.96
14:00,49.97,52.14,40.21,37.39,31.9,20,28.84,41.28,39.12,36.58,37.11,42.87
15:00,50.93,50.97,39.26,35.05,29.3,16.34,28.82,40.12,38.87,35.22,37.04,49
16:00,52.38,51.05,39.18,34.68,26.8,20.03,28.89,40.22,38.46,34.92,37.29,52.95
17:00,54.67,52.19,40.97,34.82,26.55,24.17,29,41.46,38.49,35.17,38.42,53.93
18:00,55.58,54.06,43.78,36.78,27.66,31.28,30.22,43.04,40.84,40.49,38.93,57.23
19:00,55.39,54.98,44.77,39.03,37.01,32.49,29.16,44.85,45.41,48.01,39.44,54.87
20:00,54.9,53.28,43.22,39.57,38.26,36.21,30.96,48.32,61.67,51.61,37.31,54.17
21:00,53.86,51.66,40.47,38.58,39.71,37.22,30.95,47.82,52.91,48.47,36.88,53.13
22:00,52.71,49.9,40.06,36.4,39.91,36.09,30.43,41.58,46.92,40.21,36.36,48.15
23:00,52.09,49.46,39.77,31.38,36.76,35.36,29.98,40.76,40.4,34.69,35.19,41.62
0:00,50.76,48.04,37.77,27.69,14.41,29.85,27.61,39.98,35.24,32.98,33.91,40.48
1:00,49.8,48.5,38.89,31.9,28.1,25.93,26.12,38.96,34.4,33.35,34.52,39.48
2:00,48.89,47.55,37.48,31.5,28.93,22.78,25.7,38.16,34.22,32.29,32.91,39.14
3:00,48.31,47.1,37.29,31.08,28.91,20.78,25.37,38.05,33.58,30.06,30.43,39.03
4:00,48.4,46.74,37.74,31.19,28.97,19.97,25.15,37.74,34.11,30.06,29.28,38.5
5:00,48.79,47.12,38.57,32.57,28.97,19.17,25.33,37.66,34.79,32.93,30.44,39.49
6:00,49.61,47.39,38.86,36,35.96,24.04,26.73,37.87,35.63,33.94,31.65,42.81
7:00,51.17,47.93,37.33,41.17,39.94,40.62,30.15,38.11,37.5,35.7,33.48,55.07
8:00,53.91,48.34,39.12,44.8,42.39,44.92,31.35,38.41,40.74,42.98,34.43,67.28
9:00,58.86,48.89,40.21,48.44,43.05,45.02,31.8,38.97,40.97,49.92,35.88,76.47
10:00,59.14,49.86,41.03,46.47,42.73,41.81,31.8,39.73,39.55,47.89,36.88,71
11:00,58.19,50.54,41.42,46.16,42.43,39.36,31.96,39.87,39.34,46.8,37.59,60.49
12:00,61.47,51.11,40.99,44.58,41.93,37.71,31.71,39.61,38.65,47.61,38.14,59.31
13:00,62,50.73,40.65,42.4,41.7,36.25,30.45,39.42,38.74,42.93,38.69,55.24
14:00,63.12,50.43,40.23,41.73,39.84,35.46,29.93,39.14,38.43,37.82,38.09,53.19
15:00,63.67,50.28,39.87,40.77,38.69,35.23,29.4,38.95,38.28,36.74,38.23,55.49
16:00,66.13,50.58,39.68,40.48,37.12,35.68,29.26,38.91,38.22,36.86,38.54,56.51
17:00,68.41,51.61,40.29,40.73,36.37,35.69,29.12,38.89,38.51,40.4,39.76,58.56
18:00,69.55,53.43,41.79,41.08,38.89,42.97,29.99,38.96,39.76,54.83,41.24,55.84
19:00,65.67,55.32,42.92,41.26,39.89,45.42,30.3,39.75,44.96,58.83,41.8,48.57
20:00,61.51,55.14,43.12,41.39,39.86,49.29,30.25,41.08,50.83,66.33,40.86,42.49
21:00,57.6,53.38,42.68,40.89,40.12,47.81,29.95,41.02,53.36,53.53,39.24,41.31
22:00,54.44,51.94,41.62,39.91,40.82,47.19,29.55,40.59,46.12,48.06,37.43,39.92
23:00,52.09,51.04,40.94,35.89,39.7,44.86,29.46,40.84,40.9,45.59,35.86,38.32
0:00,49.98,49.46,40.32,34.95,39.02,40.41,27.59,39.47,36.08,35.93,34.1,36.16
1:00,49.87,50.18,39.78,32.63,39.06,2.91,27.78,38.93,34.12,37.49,34.76,35
2:00,47.97,50.05,39.3,32.31,35.32,3,27.29,38.04,33.45,34.96,34.56,35
3:00,47.07,49.82,39.32,32.21,33.92,3.21,26.82,37.45,31.91,34.18,34.6,34.62
4:00,47.05,50,39.51,31.81,34.06,3.22,26.98,37.18,32.95,33.78,34.46,34.76
5:00,47.43,50.56,40.7,34.13,34.47,2.92,27.11,37.06,34.84,34.71,35.47,35.99
6:00,48.58,52.13,41.48,36.86,34.51,19.99,28.07,36.48,36.94,35.66,36.37,37.51
7:00,50.87,53.65,42.32,40.54,38.89,42.95,28.47,37.4,39.72,43.33,39.51,41.67
8:00,53.99,60.67,42.94,44.96,40.87,50.29,29.62,38.09,46.96,48.77,43.56,53.4
9:00,54.44,62.38,44.03,49.07,42.99,55.43,30.83,38.69,66.18,61.71,45.35,54.76
10:00,54.18,61.09,44.4,45.8,43.62,46.93,30.91,39.63,66.77,67.4,45.07,51.47
11:00,53.9,60,44.3,43.78,43.24,42.24,30.69,40.03,67.78,66.72,43.97,45.22
12:00,53.01,54.96,43.79,41.93,42.65,41,29.9,40.02,59.98,66.7,43.33,43.91
13:00,51.74,54.23,42.95,40.75,41.18,37.56,29.01,39.98,40.65,57.06,41.71,43.81
14:00,51.6,53.8,42.87,40.33,40.34,36.5,28.94,39.46,40.2,47.78,43.65,47.99
15:00,51.41,54.09,42.83,38.73,39.97,35.19,28.82,39.3,39.98,45.35,44.39,53.69
16:00,51.69,54.01,42.85,38.37,39.57,34.47,28.9,39.2,39.91,47.93,46.38,56.9
17:00,52.59,54.52,42.88,39.03,39.37,36.65,28.85,39.12,39.22,49.49,48.19,61.19
18:00,53.34,55.5,43.22,39.86,40.49,42.92,29.33,39.32,38.97,50.05,52.89,61.92
19:00,52.81,54.2,43.1,40.63,41.65,45.13,29.15,39.98,38.92,50.27,52.92,58.62
20:00,51.79,52.96,43.02,40.71,42.52,46.17,29.02,42,40.26,53.52,48.91,41.26
21:00,51.04,52.18,41.61,40.29,42.73,44.72,28.91,42.93,40.67,49.22,43.15,40.45
22:00,50.45,51.66,40.75,39.66,42.5,38.28,28.43,43.42,38.25,40.5,40,38.12
23:00,49.79,50.59,39.46,37.57,42.68,33.83,28.37,41.4,35.5,35.87,38.98,36.43
0:00,49.02,49.09,37.06,35.92,40.99,27.34,27.26,40.31,34.27,34.35,36.6,36.01
1:00,48.42,47.74,37.81,35.36,35.19,26.82,26.19,39.05,31.22,34.85,37.08,32.91
2:00,47.52,47.47,36.08,35.47,32.02,25.23,25.84,36.89,29.79,34.32,36.57,31.43
